code,oricode
W06000019,1
W06000019,2
W06000019,3
W06000019,4
W06000019,5
W06000020,-8
W06000020,1
W06000020,2
W06000020,3
W06000020,4
W06000020,5
W06000021,-8
W06000021,1
W06000021,2
W06000021,3
W06000021,4
W06000021,5
W06000022,-8
W06000022,1
W06000022,2
W06000022,3
W06000022,4
W06000022,5
W06000023,-8
W06000023,1
W06000023,2
W06000023,3
W06000023,4
W06000023,5
W06000024,-8
W06000024,1
W06000024,2
W06000024,3
W06000024,4
W06000024,5
